sub:13	obj:13	sub:19	obj:19	sub:9	obj:9	sub:10	obj:10	sub:6	obj:6	sub:2	obj:2	sub:23	obj:23	sub:25	obj:25	sub:16	obj:16	sub:20	obj:20	sub:22	obj:22	sub:4	obj:4	sub:1	obj:1	sub:7	obj:7	sub:14	obj:14	sub:24	obj:24	sub:5	obj:5	sub:17	obj:17	sub:15	obj:15	sub:11	obj:11	sub:12	obj:12	sub:3	obj:3	sub:21	obj:21	sub:18	obj:18	sub:8	obj:8
100	100	70	26	18	82	18	33	61	70	27	27	61	88	18	61	61	82	26	27	77	20	90	53	6	82	17	70	104	26	55	65	32	88	23	60	36	86	86	84	63	67	""	""	""	""	""	""	""	""
39	4	66	45	62	""	39	""	66	21	21	94	45	""	72	80	80	""	""	91	2	""	""	""	""	""	""	94	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
81	81	24	56	48	""	33	""	67	24	84	24	56	""	9	56	56	""	63	9	36	""	49	""	10	""	10	84	13	56	66	""	""	""	""	80	""	""	""	""	""	""	""	""	""	""	""	""	""	""
93	95	25	58	40	45	93	""	38	44	38	53	86	""	25	33	33	""	67	44	33	""	97	""	48	""	58	40	79	58	37	""	""	""	4	37	""	80	""	""	""	""	""	""	""	""	""	""	""	""
56	56	39	66	10	""	36	""	63	4	4	12	94	""	12	66	14	""	76	62	21	""	2	""	76	""	94	39	""	72	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
61	27	17	6	27	86	61	88	26	17	17	17	78	65	27	89	89	86	60	17	104	4	60	48	104	86	78	17	19	77	25	12	56	4	55	41	83	33	67	10	2	24	""	""	""	""	""	""	""	""
45	50	""	""	57	""	57	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
37	37	83	76	63	""	49	""	83	12	12	14	76	""	66	72	74	""	50	13	91	""	45	""	45	""	76	83	""	80	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
43	43	31	27	43	38	43	40	100	5	100	100	18	33	5	18	5	38	27	31	75	9	26	25	17	38	70	31	46	27	104	88	33	33	6	46	24	44	82	86	10	92	""	""	""	""	""	""	""	""
1	1	65	13	56	""	20	""	10	63	63	39	14	""	39	21	83	""	94	65	13	""	74	""	91	""	66	65	45	94	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
99	47	43	18	99	93	47	102	5	96	43	43	5	103	96	5	96	93	31	43	70	81	27	93	27	95	100	43	17	18	68	33	58	58	78	17	67	103	25	53	1	44	""	""	""	""	""	""	""	""
96	96	5	70	96	95	96	103	31	43	5	5	31	81	43	31	43	95	70	5	61	33	17	38	75	93	18	5	26	70	90	9	81	81	89	26	79	25	44	92	36	82	""	""	""	""	""	""	""	""
104	90	41	103	90	37	68	91	19	23	19	23	95	72	90	93	40	37	44	19	40	76	44	63	40	37	102	60	44	95	24	""	72	76	48	81	""	37	14	""	""	45	""	""	""	""	""	""	""	""
""	45	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3	3	30	34	3	31	3	85	34	3	3	30	34	52	3	59	3	31	59	3	30	47	8	70	59	5	30	3	85	8	22	96	52	52	35	22	46	98	70	61	77	70	""	81	""	""	""	""	""	""
