sub:8	obj:8	sub:10	obj:10	sub:7	obj:7	sub:14	obj:14	sub:17	obj:17	sub:2	obj:2	sub:11	obj:11	sub:16	obj:16	sub:15	obj:15	sub:12	obj:12	sub:6	obj:6	sub:5	obj:5	sub:1	obj:1	sub:13	obj:13	sub:3	obj:3	sub:18	obj:18	sub:4	obj:4	sub:9	obj:9
26338	28135	21783	34362	7362	19289	26654	16826	40099	6147	309	14958	234	35633	24584	36202	32394	29572	13125	961	15309	10253	29292	5240	31150	18484	""	18836	7714	""	31089	""	""	6910	""	""
7621	34622	3838	21430	1987	10829	628	17774	17671	26461	35178	24460	31551	20706	""	37983	5886	""	""	13873	24059	""	24784	3178	4238	36017	""	34099	53	""	40066	""	""	25760	""	""
31182	26079	18921	31880	34052	3875	21831	28408	33381	628	30061	40029	37276	26464	""	29034	4833	""	""	980	36804	""	37903	37605	11676	39566	""	53	25519	""	10998	""	""	17412	""	""
4580	26576	36937	26267	544	544	34705	26996	32662	3512	30210	8431	8683	9762	""	29550	5128	""	""	4829	35785	""	10828	2553	10920	10028	""	36758	28993	""	38329	""	""	29729	""	""
11708	1500	21364	14255	14836	12778	19661	8735	6367	36858	12092	7444	31433	35216	""	22457	19040	""	""	39830	19706	""	""	""	25775	25775	""	5035	18264	""	""	""	""	""	""	""
33793	18918	21309	5637	36638	19733	19915	25531	38597	15500	3147	7638	12802	37994	""	4441	35443	""	""	5209	37442	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
14653	272	26969	33021	863	12603	32811	34929	11554	7866	24056	30843	9480	15834	""	31795	23267	""	""	12884	23163	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
26202	29761	22482	20344	3583	25850	38556	13506	23763	1381	21275	21766	30581	31126	""	23155	23431	""	""	23853	3398	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
38361	4205	37387	21268	13543	10363	39958	18383	36029	18517	26971	5331	15415	28186	""	6798	25299	""	""	9896	19615	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
28734	25970	940	7041	37025	24987	14723	24587	39255	25203	29149	40181	25114	2229	""	2215	2726	""	""	31921	18412	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
15880	10088	30782	34804	19951	3597	35075	33515	34354	24771	36636	32049	35148	14355	""	6990	25657	""	""	4068	40166	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
33254	34513	10803	13129	36054	12994	25452	22270	21955	10911	14206	9260	29801	7374	""	2614	5780	""	""	11117	13753	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
20926	25737	26261	35203	16636	16636	277	33462	1354	1478	13983	39204	21798	4923	""	29890	30233	""	""	5495	31843	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
35946	33829	4969	20619	13808	28110	28120	9771	12564	9999	""	22000	4228	""	""	6401	513	""	""	36779	13784	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3904	685	5998	13996	35051	14269	38458	19131	2334	23214	""	20105	14007	""	""	21888	15399	""	""	31396	31396	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
35586	25879	40668	16540	30964	30962	25521	21351	21626	9558	""	19115	36611	""	""	39006	15687	""	""	590	38626	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
36453	27410	22687	31184	3801	18954	1670	35382	13587	20097	""	3225	27734	""	""	33898	28163	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
8557	30358	11055	23686	18945	35725	33671	30388	22025	15925	""	14102	358	""	""	36939	1380	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
25190	5345	29943	23279	15894	10423	""	28709	6216	""	""	31843	26309	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
39937	26499	13006	31120	3772	28905	""	18713	13770	""	""	38832	36894	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
28818	14951	14895	21449	29170	3264	""	18716	303	""	""	37081	13103	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
10965	10934	13091	3563	17735	3307	""	5694	16213	""	""	9394	11305	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3626	19891	30869	28861	22475	5769	""	34423	39392	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
37801	21051	38839	9214	3633	13957	""	38174	10242	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
33230	22278	14797	15411	8747	20650	""	12382	16889	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
24972	16913	38239	28366	10299	2555	""	32150	23147	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
32405	6682	2882	16682	16419	34225	""	10496	4283	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
22846	5464	25189	38357	7268	9264	""	17445	15354	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
1326	30291	30030	26604	6570	32692	""	24925	13830	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
40054	25708	21112	34426	39688	18319	""	5992	12027	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
22679	3726	15253	30939	22713	1559	""	6931	34172	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
24266	25459	5303	36428	25204	28270	""	32913	17856	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
21465	29227	31977	8539	13341	30068	""	26380	4171	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
97	21810	25351	30152	21852	34441	""	27529	33546	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
1724	20212	5627	5541	32730	13325	""	3513	22505	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
31643	25433	22460	10742	32459	23238	""	37109	23078	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
13172	11663	15077	29445	34483	6518	""	13193	28405	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
33352	6544	12136	465	22258	6970	""	22740	22680	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
8806	33862	40519	26043	35279	15733	""	29139	34936	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
3645	23347	785	16011	17862	6988	""	10153	13880	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
34172	31730	4549	3956	40840	11943	""	11513	8829	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
21723	3809	39788	4519	29572	15401	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
30341	1228	3328	21084	16232	33531	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
13733	3772	15944	31350	15432	12873	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
6266	6866	1058	21710	6236	32225	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
12720	408	39544	38759	35159	35219	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
11436	17103	23796	1949	16440	28687	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
12745	32141	32604	29062	3056	2994	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2970	13654	202	16859	40444	5754	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
19165	36126	40233	27738	11358	11583	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
36185	12588	8090	38797	26546	35242	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
37250	22954	3855	26026	18402	5901	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
35379	13238	20302	6145	40821	33148	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
17678	34165	24330	40264	20062	19904	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
20180	28670	17182	26974	16656	23933	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	24950	16916	""	20027	10907	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
